onset	duration	sample	trial_type	response_time	stim_file	value
4.0195312500	n/a	1029	stimulus	n/a	n/a	standard
4.8242187500	n/a	1235	stimulus	n/a	n/a	standard
5.8203125000	n/a	1490	stimulus	n/a	n/a	standard
6.8164062500	n/a	1745	stimulus	n/a	n/a	standard
7.8203125000	n/a	2002	stimulus	n/a	n/a	standard
8.8203125000	n/a	2258	stimulus	n/a	n/a	standard
9.8085937500	n/a	2511	stimulus	n/a	n/a	standard
10.8203125000	n/a	2770	stimulus	n/a	n/a	standard
11.8164062500	n/a	3025	stimulus	n/a	n/a	standard
12.8125000000	n/a	3280	stimulus	n/a	n/a	standard
13.8203125000	n/a	3538	stimulus	609	n/a	oddball_with_reponse
14.4296875000	n/a	3694	response	n/a	n/a	response
14.8125000000	n/a	3792	stimulus	n/a	n/a	standard
15.8164062500	n/a	4049	stimulus	n/a	n/a	standard
16.8125000000	n/a	4304	stimulus	n/a	n/a	standard
17.8125000000	n/a	4560	stimulus	n/a	n/a	standard
18.8164062500	n/a	4817	stimulus	n/a	n/a	noise
19.8203125000	n/a	5074	stimulus	n/a	n/a	standard
20.8242187500	n/a	5331	stimulus	n/a	n/a	noise
21.8164062500	n/a	5585	stimulus	n/a	n/a	standard
22.8203125000	n/a	5842	stimulus	465	n/a	oddball_with_reponse
23.2851562500	n/a	5961	response	n/a	n/a	response
23.8125000000	n/a	6096	stimulus	n/a	n/a	standard
24.8164062500	n/a	6353	stimulus	n/a	n/a	standard
25.8125000000	n/a	6608	stimulus	n/a	n/a	standard
26.8203125000	n/a	6866	stimulus	465	n/a	oddball_with_reponse
27.2851562500	n/a	6985	response	n/a	n/a	response
27.8242187500	n/a	7123	stimulus	n/a	n/a	standard
28.8125000000	n/a	7376	stimulus	n/a	n/a	standard
29.8203125000	n/a	7634	stimulus	n/a	n/a	standard
30.8203125000	n/a	7890	stimulus	n/a	n/a	standard
31.8125000000	n/a	8144	stimulus	n/a	n/a	noise
32.8203125000	n/a	8402	stimulus	n/a	n/a	standard
33.8125000000	n/a	8656	stimulus	508	n/a	oddball_with_reponse
34.3203125000	n/a	8786	response	n/a	n/a	response
34.8281250000	n/a	8916	stimulus	n/a	n/a	standard
35.8281250000	n/a	9172	stimulus	n/a	n/a	standard
36.8164062500	n/a	9425	stimulus	n/a	n/a	noise
37.8281250000	n/a	9684	stimulus	n/a	n/a	standard
38.8125000000	n/a	9936	stimulus	n/a	n/a	standard
39.8125000000	n/a	10192	stimulus	660	n/a	oddball_with_reponse
40.4726562500	n/a	10361	response	n/a	n/a	response
40.8125000000	n/a	10448	stimulus	n/a	n/a	standard
41.8281250000	n/a	10708	stimulus	n/a	n/a	noise
42.8203125000	n/a	10962	stimulus	n/a	n/a	standard
43.8320312500	n/a	11221	stimulus	539	n/a	oddball_with_reponse
44.3710937500	n/a	11359	response	n/a	n/a	response
44.8125000000	n/a	11472	stimulus	n/a	n/a	standard
45.8125000000	n/a	11728	stimulus	n/a	n/a	noise
46.8085937500	n/a	11983	stimulus	n/a	n/a	standard
47.8125000000	n/a	12240	stimulus	n/a	n/a	standard
48.8242187500	n/a	12499	stimulus	594	n/a	oddball_with_reponse
49.4179687500	n/a	12651	response	n/a	n/a	response
49.8085937500	n/a	12751	stimulus	n/a	n/a	standard
50.8203125000	n/a	13010	stimulus	n/a	n/a	standard
51.8125000000	n/a	13264	stimulus	621	n/a	oddball_with_reponse
52.4335937500	n/a	13423	response	n/a	n/a	response
52.8125000000	n/a	13520	stimulus	n/a	n/a	standard
53.8164062500	n/a	13777	stimulus	617	n/a	oddball_with_reponse
54.4335937500	n/a	13935	response	n/a	n/a	response
54.8164062500	n/a	14033	stimulus	n/a	n/a	standard
55.8125000000	n/a	14288	stimulus	n/a	n/a	standard
56.8125000000	n/a	14544	stimulus	n/a	n/a	noise
57.8125000000	n/a	14800	stimulus	n/a	n/a	standard
58.8203125000	n/a	15058	stimulus	n/a	n/a	standard
59.8125000000	n/a	15312	stimulus	n/a	n/a	noise
60.8242187500	n/a	15571	stimulus	n/a	n/a	standard
61.8203125000	n/a	15826	stimulus	n/a	n/a	standard
62.8203125000	n/a	16082	stimulus	531	n/a	oddball_with_reponse
63.3515625000	n/a	16218	response	n/a	n/a	response
63.8203125000	n/a	16338	stimulus	n/a	n/a	standard
64.8125000000	n/a	16592	stimulus	n/a	n/a	noise
65.8281250000	n/a	16852	stimulus	n/a	n/a	standard
66.8164062500	n/a	17105	stimulus	n/a	n/a	noise
67.8203125000	n/a	17362	stimulus	n/a	n/a	standard
68.8359375000	n/a	17622	stimulus	n/a	n/a	standard
69.8203125000	n/a	17874	stimulus	n/a	n/a	noise
70.8164062500	n/a	18129	stimulus	n/a	n/a	standard
71.8125000000	n/a	18384	stimulus	n/a	n/a	standard
72.8203125000	n/a	18642	stimulus	n/a	n/a	standard
73.8359375000	n/a	18902	stimulus	570	n/a	oddball_with_reponse
74.4062500000	n/a	19048	response	n/a	n/a	response
74.8203125000	n/a	19154	stimulus	n/a	n/a	standard
75.8320312500	n/a	19413	stimulus	n/a	n/a	standard
76.8125000000	n/a	19664	stimulus	n/a	n/a	standard
77.8125000000	n/a	19920	stimulus	582	n/a	oddball_with_reponse
78.3945312500	n/a	20069	response	n/a	n/a	response
78.8125000000	n/a	20176	stimulus	n/a	n/a	standard
79.8164062500	n/a	20433	stimulus	n/a	n/a	noise
80.8203125000	n/a	20690	stimulus	n/a	n/a	standard
81.8398437500	n/a	20951	stimulus	n/a	n/a	standard
82.8281250000	n/a	21204	stimulus	n/a	n/a	noise
83.8320312500	n/a	21461	stimulus	n/a	n/a	standard
84.8281250000	n/a	21716	stimulus	559	n/a	oddball_with_reponse
85.3867187500	n/a	21859	response	n/a	n/a	response
85.8437500000	n/a	21976	stimulus	n/a	n/a	standard
86.8281250000	n/a	22228	stimulus	n/a	n/a	standard
87.8281250000	n/a	22484	stimulus	n/a	n/a	standard
88.8593750000	n/a	22748	stimulus	n/a	n/a	standard
89.8281250000	n/a	22996	stimulus	n/a	n/a	standard
90.8320312500	n/a	23253	stimulus	n/a	n/a	noise
91.8320312500	n/a	23509	stimulus	n/a	n/a	standard
92.8281250000	n/a	23764	stimulus	574	n/a	oddball_with_reponse
93.4023437500	n/a	23911	response	n/a	n/a	response
93.8281250000	n/a	24020	stimulus	n/a	n/a	standard
94.8398437500	n/a	24279	stimulus	n/a	n/a	standard
95.8398437500	n/a	24535	stimulus	691	n/a	oddball_with_reponse
96.5312500000	n/a	24712	response	n/a	n/a	response
96.8320312500	n/a	24789	stimulus	n/a	n/a	standard
97.8398437500	n/a	25047	stimulus	n/a	n/a	standard
98.8359375000	n/a	25302	stimulus	n/a	n/a	standard
99.8437500000	n/a	25560	stimulus	n/a	n/a	standard
100.8281250000	n/a	25812	stimulus	660	n/a	oddball_with_reponse
101.4882812500	n/a	25981	response	n/a	n/a	response
101.8398437500	n/a	26071	stimulus	n/a	n/a	standard
102.8359375000	n/a	26326	stimulus	n/a	n/a	standard
103.8437500000	n/a	26584	stimulus	n/a	n/a	standard
104.8281250000	n/a	26836	stimulus	n/a	n/a	standard
105.8242187500	n/a	27091	stimulus	n/a	n/a	standard
106.8359375000	n/a	27350	stimulus	n/a	n/a	standard
107.8320312500	n/a	27605	stimulus	n/a	n/a	standard
108.8320312500	n/a	27861	stimulus	n/a	n/a	standard
109.8320312500	n/a	28117	stimulus	n/a	n/a	standard
110.8320312500	n/a	28373	stimulus	645	n/a	oddball_with_reponse
111.4765625000	n/a	28538	response	n/a	n/a	response
111.8242187500	n/a	28627	stimulus	n/a	n/a	standard
112.8320312500	n/a	28885	stimulus	n/a	n/a	standard
113.8320312500	n/a	29141	stimulus	n/a	n/a	noise
114.8437500000	n/a	29400	stimulus	n/a	n/a	standard
115.8437500000	n/a	29656	stimulus	n/a	n/a	noise
116.8281250000	n/a	29908	stimulus	n/a	n/a	standard
117.8281250000	n/a	30164	stimulus	645	n/a	oddball_with_reponse
118.4726562500	n/a	30329	response	n/a	n/a	response
118.8398437500	n/a	30423	stimulus	n/a	n/a	standard
119.8437500000	n/a	30680	stimulus	n/a	n/a	standard
120.8359375000	n/a	30934	stimulus	641	n/a	oddball_with_reponse
121.4765625000	n/a	31098	response	n/a	n/a	response
121.8281250000	n/a	31188	stimulus	n/a	n/a	standard
122.8281250000	n/a	31444	stimulus	n/a	n/a	standard
123.8398437500	n/a	31703	stimulus	836	n/a	oddball_with_reponse
124.6757812500	n/a	31917	response	n/a	n/a	response
124.8320312500	n/a	31957	n/a	n/a	n/a	ignore
125.8437500000	n/a	32216	stimulus	n/a	n/a	noise
126.8359375000	n/a	32470	stimulus	n/a	n/a	standard
127.8398437500	n/a	32727	stimulus	n/a	n/a	noise
128.8398437500	n/a	32983	stimulus	n/a	n/a	standard
129.8437500000	n/a	33240	stimulus	n/a	n/a	standard
130.8437500000	n/a	33496	stimulus	609	n/a	oddball_with_reponse
131.4531250000	n/a	33652	response	n/a	n/a	response
131.8515625000	n/a	33754	stimulus	n/a	n/a	standard
132.8398437500	n/a	34007	stimulus	n/a	n/a	standard
133.8437500000	n/a	34264	stimulus	n/a	n/a	standard
134.8476562500	n/a	34521	stimulus	n/a	n/a	standard
135.8476562500	n/a	34777	stimulus	641	n/a	oddball_with_reponse
136.4882812500	n/a	34941	response	n/a	n/a	response
136.8398437500	n/a	35031	stimulus	n/a	n/a	standard
137.8437500000	n/a	35288	stimulus	n/a	n/a	noise
138.8359375000	n/a	35542	stimulus	n/a	n/a	standard
139.8359375000	n/a	35798	stimulus	719	n/a	oddball_with_reponse
140.5546875000	n/a	35982	response	n/a	n/a	response
